Mauritania,MRT,18
Mauritius,MUS,52.19132594
Malawi,MWI,11.47
Malaysia,MYS,78.78830993
North America,NAC,86.11499711
Namibia,NAM,31.03334594
New Caledonia,NCL,
Niger,NER,4.32275803
Nigeria,NGA,25.67
Nicaragua,NIC,24.57183396
Netherlands,NLD,90.4109589
Norway,NOR,97.29820367
Nepal,NPL,19.68876384
Nauru,NRU,
New Zealand,NZL,88.47018635
OECD members,OED,80.71077102
Oman,OMN,76.84539047
Other small states,OSS,46.29104983
Pakistan,PAK,12.38544676
Panama,PAN,54
Peru,PER,45.46174069
Philippines,PHL,55.5
Palau,PLW,
Papua New Guinea,PNG,9.601538462
Poland,POL,73.3007041
Pre-demographic dividend,PRE,16.5090307
Puerto Rico,PRI,68.6438072
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,70.42356709
Paraguay,PRY,53.40412748
West Bank and Gaza,PSE,61.17838483
Pacific island small states,PSS,30.23606451
Post-demographic dividend,PST,83.20461215
French Polynesia,PYF,68.44041949
Qatar,QAT,95.12466217
Romania,ROU,59.50395129
Russian Federation,RUS,73.09143462
Rwanda,RWA,20
South Asia,SAS,20.23984948
Saudi Arabia,SAU,74.87927469
Sudan,SDN,14.09999994
Senegal,SEN,25.66476804
Singapore,SGP,84.45226789
Solomon Islands,SLB,11.00090227
Sierra Leone,SLE,11.77318438
El Salvador,SLV,28.99707305
San Marino,SMR,
Somalia,SOM,1.88
Serbia,SRB,67.05684137
Sub-Saharan Africa (excluding high income),SSA,19.33774262
South Sudan,SSD,6.679728051
Sub-Saharan Africa,SSF,19.34122243
Small states,SST,46.56373052
Sao Tome and Principe,STP,28
Suriname,SUR,45.4
Slovak Republic,SVK,80.47585728
Slovenia,SVN,75.49850426
Sweden,SWE,89.65094761
Eswatini,SWZ,28.57352278
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,56.51470815
Syrian Arab Republic,SYR,31.86962727
Turks and Caicos Islands,TCA,
Chad,TCD,5
East Asia & Pacific (IDA & IBRD countries),TEA,48.72880783
Europe & Central Asia (IDA & IBRD countries),TEC,63.51476431
Togo,TGO,11.31
Thailand,THA,47.50496562
Tajikistan,TJK,20.47
Turkmenistan,TKM,17.99032446
Latin America & the Caribbean (IDA & IBRD countries),TLA,57.52467638
Timor-Leste,TLS,25.24624959
Middle East & North Africa (IDA & IBRD countries),TMN,42.99068822
Tonga,TON,39.95
South Asia (IDA & IBRD),TSA,20.23984948
Sub-Saharan Africa (IDA & IBRD countries),TSS,19.34122243
Trinidad and Tobago,TTO,73.29694122
Tunisia,TUN,49.59999484
Turkey,TUR,58.34773401
Tuvalu,TUV,46.00915151
Tanzania,TZA,13
Uganda,UGA,21.87617046
Ukraine,UKR,53
Upper middle income,UMC,55.224542
Uruguay,URY,66.4
United States,USA,85.54442129
Uzbekistan,UZB,46.79128694
St. Vincent and the Grenadines,VCT,20.68943522
"Venezuela, RB",VEN,60
British Virgin Islands,VGB,77.70142968
Virgin Islands (U.S.),VIR,59.6083158
Vietnam,VNM,53
Vanuatu,VUT,24
World,WLD,44.70369974
Samoa,WSM,29.41173011
Kosovo,XKX,
"Yemen, Rep.",YEM,24.57920836
South Africa,ZAF,54
Zambia,ZMB,25.50657885
Zimbabwe,ZWE,23.11998904
